annotation	bilirubin	time
36w_risk	10.1	28
36w_risk	13.3	52
36w_risk	15.7	76
36w_risk	17	100
36w_risk	17.2	124
36w_risk	17.3	148
36w_risk	17.4	172
36w_risk	17.5	196
36w_risk	17.6	220
36w_risk	17.8	244
36w_risk	17.9	268
36w_risk	18	292
36w_risk	18.1	316
36w_risk	18.2	340
36w_risk	6.2	5
36w_risk	10.2	29
36w_risk	13.4	53
36w_risk	15.8	77
36w_risk	17	101
36w_risk	17.2	125
36w_risk	17.3	149
36w_risk	17.4	173
36w_risk	17.5	197
36w_risk	17.7	221
36w_risk	17.8	245
36w_risk	17.9	269
36w_risk	18	293
36w_risk	18.1	317
36w_risk	18.2	341
36w_risk	6.3	6
36w_risk	10.4	30
36w_risk	13.5	54
36w_risk	15.8	78
36w_risk	17	102
36w_risk	17.2	126
36w_risk	17.3	150
36w_risk	17.4	174
36w_risk	17.5	198
36w_risk	17.7	222
36w_risk	17.8	246
36w_risk	17.9	270
36w_risk	18	294
36w_risk	18.1	318
36w_risk	18.2	342
36w_risk	6.5	7
36w_risk	10.5	31
36w_risk	13.7	55
36w_risk	15.9	79
36w_risk	17	103
36w_risk	17.2	127
36w_risk	17.3	151
36w_risk	17.4	175
36w_risk	17.5	199
36w_risk	17.7	223
36w_risk	17.8	247
36w_risk	17.9	271
36w_risk	18	295
36w_risk	18.2	319
36w_risk	18.2	343
36w_risk	6.7	8
36w_risk	10.7	32
36w_risk	13.8	56
36w_risk	16	80
36w_risk	17.1	104
36w_risk	17.2	128
36w_risk	17.3	152
36w_risk	17.4	176
36w_risk	17.5	200
36w_risk	17.7	224
36w_risk	17.8	248
36w_risk	17.9	272
36w_risk	18	296
36w_risk	18.2	320
36w_risk	18.2	344
36w_risk	6.9	9
36w_risk	10.8	33
36w_risk	13.9	57
36w_risk	16.1	81
36w_risk	17.1	105
36w_risk	17.2	129
36w_risk	17.3	153
36w_risk	17.4	177
36w_risk	17.5	201
36w_risk	17.7	225
36w_risk	17.8	249
36w_risk	17.9	273
36w_risk	18	297
36w_risk	18.2	321
36w_risk	18.2	345
36w_risk	7.1	10
36w_risk	11	34
36w_risk	14	58
36w_risk	16.1	82
36w_risk	17.1	106
36w_risk	17.2	130
36w_risk	17.3	154
36w_risk	17.4	178
36w_risk	17.6	202
36w_risk	17.7	226
36w_risk	17.8	250
36w_risk	17.9	274
36w_risk	18	298
36w_risk	18.2	322
36w_risk	18.2	346
36w_risk	7.3	11
36w_risk	11.1	35
36w_risk	14.1	59
36w_risk	16.2	83
36w_risk	17.1	107
36w_risk	17.2	131
36w_risk	17.3	155
36w_risk	17.4	179
36w_risk	17.6	203
36w_risk	17.7	227
36w_risk	17.8	251
36w_risk	17.9	275
36w_risk	18.1	299
36w_risk	18.2	323
36w_risk	18.2	347
36w_risk	7.4	12
36w_risk	11.2	36
36w_risk	14.2	60
36w_risk	16.3	84
36w_risk	17.1	108
36w_risk	17.2	132
36w_risk	17.3	156
36w_risk	17.4	180
36w_risk	17.6	204
36w_risk	17.7	228
36w_risk	17.8	252
36w_risk	17.9	276
36w_risk	18.1	300
36w_risk	18.2	324
36w_risk	18.2	348
36w_risk	7.6	13
36w_risk	11.4	37
36w_risk	14.3	61
36w_risk	16.4	85
36w_risk	17.1	109
36w_risk	17.2	133
36w_risk	17.3	157
36w_risk	17.4	181
36w_risk	17.6	205
36w_risk	17.7	229
36w_risk	17.8	253
36w_risk	17.9	277
36w_risk	18.1	301
36w_risk	18.2	325
36w_risk	18.2	349
36w_risk	7.8	14
36w_risk	11.5	38
36w_risk	14.4	62
36w_risk	16.4	86
36w_risk	17.1	110
36w_risk	17.2	134
36w_risk	17.3	158
36w_risk	17.5	182
36w_risk	17.6	206
36w_risk	17.7	230
36w_risk	17.8	254
36w_risk	17.9	278
36w_risk	18.1	302
36w_risk	18.2	326
36w_risk	18.2	350
36w_risk	8	15
36w_risk	11.7	39
36w_risk	14.5	63
36w_risk	16.5	87
36w_risk	17.1	111
36w_risk	17.2	135
36w_risk	17.3	159
36w_risk	17.5	183
36w_risk	17.6	207
36w_risk	17.7	231
36w_risk	17.8	255
36w_risk	17.9	279
36w_risk	18.1	303
36w_risk	18.2	327
36w_risk	18.2	351
36w_risk	8.1	16
36w_risk	11.8	40
36w_risk	14.6	64
36w_risk	16.6	88
36w_risk	17.1	112
36w_risk	17.2	136
36w_risk	17.3	160
36w_risk	17.5	184
36w_risk	17.6	208
36w_risk	17.7	232
36w_risk	17.8	256
36w_risk	18	280
36w_risk	18.1	304
36w_risk	18.2	328
36w_risk	18.2	352
36w_risk	8.3	17
36w_risk	11.9	41
36w_risk	14.7	65
36w_risk	16.6	89
36w_risk	17.1	113
36w_risk	17.2	137
36w_risk	17.3	161
36w_risk	17.5	185
36w_risk	17.6	209
36w_risk	17.7	233
36w_risk	17.8	257
36w_risk	18	281
